"","mile","time","kde1.estimate"
"1",87,0,0.000607851647342662
"2",87.25,0,0.000631048150196074
"3",87.5,0,0.000654217333639744
"4",87.75,0,0.0006773150122067
"5",88,0,0.000700298388886285
"6",88.25,0,0.000723126303286284
"7",88.5,0,0.000745759445576094
"8",88.75,0,0.000768160532873185
"9",89,0,0.000790294445443735
"10",89.25,0,0.000812128320862869
"11",89.5,0,0.00083363160510484
"12",89.75,0,0.000854776060392142
"13",90,0,0.000875535730507124
"14",90.25,0,0.000895886865141626
"15",90.5,0,0.000915807805710895
"16",90.75,0,0.000935278835868857
"17",91,0,0.000954282000714939
"18",91.25,0,0.000972800899361025
"19",91.5,0,0.000990820456115281
"20",91.75,0,0.00100832667602395
"21",92,0,0.00102530639088082
"22",92.25,0,0.00104174700205829
"23",92.5,0,0.0010576362266264
"24",92.75,0,0.00107296185320411
"25",93,0,0.00108771151382872
"26",93.25,0,0.00110187247783722
"27",93.5,0,0.00111543147333275
"28",93.75,0,0.00112837454126772
"29",94,0,0.00114068692652365
"30",94.25,0,0.00115235300961885
"31",94.5,0,0.00116335628184528
"32",94.75,0,0.00117367936574084
"33",95,0,0.00118330408186326
"34",95.25,0,0.00119221156186566
"35",95.5,0,0.00120038240690203
"36",95.75,0,0.00120779688943489
"37",96,0,0.00121443519559659
"38",96.25,0,0.00122027770438958
"39",96.5,0,0.00122530529921935
"40",96.75,0,0.00122949970655037
"41",97,0,0.00123284385587796
"42",97.25,0,0.00123532225472685
"43",97.5,0,0.00123692137203152
"44",97.75,0,0.00123763002302962
"45",98,0,0.0012374397487116
"46",98.25,0,0.001236345182917
"47",98.5,0,0.00123434440034824
"48",98.75,0,0.00123143923907949
"49",99,0,0.00122763559156317
"50",99.25,0,0.001222943658668
"51",99.5,0,0.00121737816190691
"52",99.75,0,0.00121095850971484
"53",100,0,0.00120370891439899
"54",100.25,0,0.00119565845718921
"55",100.5,0,0.00118684109964617
"56",100.75,0,0.00117729564052105
"57",101,0,0.0011670656179862
"58",101.25,0,0.00115619915795344
"59",101.5,0,0.00114474876995245
"60",101.75,0,0.00113277109274071
"61",102,0,0.00112032659244968
"62",102.25,0,0.00110747921662902
"63",102.5,0,0.00109429600802694
"64",102.75,0,0.00108084668233542
"65",103,0,0.00106720317443447
"66",103.25,0,0.00105343915788975
"67",103.5,0,0.00103962954259763
"68",103.75,0,0.00102584995553633
"69",104,0,0.00101217620957823
"70",104.25,0,0.000998683765255625
"71",104.5,0,0.000985447190259598
"72",104.75,0,0.00097253962129895
"73",105,0,0.000960032232763061
"74",105.25,0,0.000947993716429072
"75",105.5,0,0.000936489776238125
"76",105.75,0,0.000925582641945485
"77",106,0,0.000915330605231381
"78",106.25,0,0.000905787581648045
"79",106.5,0,0.000897002701576717
"80",106.75,0,0.000889019933177572
"81",107,0,0.000881877740135092
"82",107.25,0,0.000875608776829411
"83",107.5,0,0.000870239623396795
"84",107.75,0,0.0008657905629753
"85",108,0,0.000862275403258662
"86",108.25,0,0.000859701344296785
"87",108.5,0,0.000858068894277957
"88",108.75,0,0.000857371834799964
"89",109,0,0.000857597236878592
"90",109.25,0,0.000858725528647727
"91",109.5,0,0.000860730615371311
"92",109.75,0,0.000863580052011587
"93",110,0,0.000867235268179444
"94",110.25,0,0.000871651844832414
"95",110.5,0,0.000876779841586857
"96",110.75,0,0.00088256417297815
"97",111,0,0.000888945031442767
"98",111.25,0,0.000895858354217819
"99",111.5,0,0.000903236330766647
"100",111.75,0,0.000911007946755012
"101",112,0,0.000919099560033379
"102",112.25,0,0.000927435503539869
"103",112.5,0,0.000935938709538653
"104",112.75,0,0.000944531349163067
"105",113,0,0.000953135480853855
"106",113.25,0,0.000961673700982425
"107",113.5,0,0.000970069789736867
"108",113.75,0,0.000978249345233538
"109",114,0,0.000986140398805819
"110",114.25,0,0.000993674004518805
"111",114.5,0,0.00100078479616636
"112",114.75,0,0.00100741150532505
"113",115,0,0.00101349743446502
"114",115.25,0,0.00101899087964624
"115",115.5,0,0.00102384549795136
"116",115.75,0,0.00102802061551548
"117",116,0,0.00103148147279472
"118",116.25,0,0.00103419940455862
"119",116.5,0,0.00103615195297932
"120",116.75,0,0.00103732291310854
"121",117,0,0.00103770231096495
"122",117.25,0,0.00103728631538237
"123",117.5,0,0.00103607708567755
"124",117.75,0,0.0010340825580676
"125",118,0,0.00103131617458742
"126",118.25,0,0.00102779655901148
"127",118.5,0,0.00102354714495936
"128",118.75,0,0.00101859576194981
"129",119,0,0.00101297418565419
"130",119.25,0,0.00100671765897949
"131",119.5,0,0.000999864390879629
"132",119.75,0,0.000992455039947369
"133",120,0,0.00098453218987847
"134",120.25,0,0.000976139823825523
"135",120.5,0,0.000967322804475249
"136",120.75,0,0.000958126366395654
"137",121,0,0.000948595626815477
"138",121.25,0,0.000938775120527222
"139",121.5,0,0.00092870836405689
"140",121.75,0,0.000918437453630034
"141",122,0,0.000908002700797331
"142",122.25,0,0.000897442308876416
"143",122.5,0,0.000886792092633903
"144",122.75,0,0.000876085242885422
"145",123,0,0.000865352136945791
"146",123.25,0,0.000854620195128751
"147",123.5,0,0.00084391378278851
"148",123.75,0,0.000833254156724934
"149",124,0,0.000822659454151285
"150",124.25,0,0.000812144721857025
"151",124.5,0,0.000801721982696636
"152",124.75,0,0.000791400336105015
"153",125,0,0.000781186088986285
"154",125.25,0,0.000771082913049123
"155",125.5,0,0.000761092024470211
"156",125.75,0,0.00075121238165866
"157",126,0,0.000741440896867062
"158",126.25,0,0.000731772657446822
"159",126.5,0,0.000722201152672492
